CountryName,Province,Status,CityName,Latitude,Longitude
Mexico,Morelos,Provincial capital,Cuernavaca,18.9209971385435,-99.2210035041973
Mexico,Guerrero,Provincial capital,Chilpancingo De Los Bravo,17.5519979887663,-99.5010025175103
Mexico,Guerrero,Other,Acapulco,16.9743781037223,-99.9314994863036
Guatemala,Alta Verapaz,Provincial capital,Coban,15.4710000997736,-90.3719965052222
Guatemala,Huehuetenango,Provincial capital,Huehuetenango,15.3170010065155,-91.4669995614241
Guatemala,Quiche,Provincial capital,Santa Cruz Del Quiche,15.0333031024519,-91.1332976255416
Guatemala,San Marcos,Provincial capital,San Marcos,14.9660010637361,-91.7999995156243
Guatemala,Totonicapan,Provincial capital,Totonicapan,14.9139989822158,-91.3580006050979
Guatemala,Quezaltenango,Provincial capital,Quezaltenango,14.8332960767774,-91.5000026295144
Guatemala,Solola,Provincial capital,Solola,14.7729959826499,-91.182995512591
Guatemala,Retalhuleu,Provincial capital,Retalhuleu,14.5370970406463,-91.6770145423565
Guatemala,Suchitepequez,Provincial capital,Mazatenango,14.5342080269239,-91.5003625564732
Guatemala,Baja Verapaz,Provincial capital,Salama,15.1029990277819,-90.3140006055655
Guatemala,El Progreso,Provincial capital,El Progreso,14.8499999973378,-90.0167035853555
Guatemala,Chimaltenango,Provincial capital,Chimaltenango,14.6619991421061,-90.81999850097
Guatemala,Guatemala,National and provincial capital,Guatemala,14.6180071316261,-90.5248976144014
Guatemala,Sacatepequez,Provincial capital,Antigua Guatemala,14.5666980956707,-90.7333016119114
Guatemala,Escuintla,Provincial capital,Escuintla,14.3029980644039,-90.7820006395938
Guatemala,Santa Rosa,Provincial capital,Cuilapa,14.2790040922045,-90.2979985012038
Cuba,Pinar del Rio,Provincial capital,Pinar Del Rio,22.4250030791689,-83.6880026216009
Cuba,Villa Clara,Provincial capital,Santa Clara,22.4139960990604,-79.9659986028394
Cuba,Cienfuegos,Provincial capital,Cienfuegos,22.1499990246254,-80.4439974905243
Cuba,Sancti Spiritus,Provincial capital,Sancti Spiritus,21.9359970458917,-79.4429995782225
Cuba,Isla de la Juventud,Provincial capital,Nueva Gerona,21.8850030908234,-82.7990005746936
Cuba,Ciego de Avila,Provincial capital,Ciego De Avila,21.8410021442259,-78.7629956151618
Cayman Is.,Cayman Is.,National and provincial capital,George Town,19.2999960890425,-81.3833275862553
Canada,Nova Scotia,Provincial capital,Halifax,44.67999603773,-63.6509965799606
Bermuda,Bermuda,National and provincial capital,Hamilton,32.2890300828251,-64.7791645472716
Costa Rica,Alajuela,Provincial capital,Alajuela,10.0160010602469,-84.2210004998743
Costa Rica,Heredia,Provincial capital,Heredia,9.99199798644625,-84.1200025129871
Costa Rica,Limon,Provincial capital,Puerto Limon,9.99000010222865,-83.0300035171559
Costa Rica,San Jose,National and provincial capital,San Jose,9.93047414065893,-84.0786205107801
Costa Rica,Cartago,Provincial capital,Cartago,9.85699807210172,-83.9210036137644
Panama,Bocas del Toro,Provincial capital,Bocas del Toro,9.33390902437428,-82.2493884680031
Panama,Chiriqui,Provincial capital,David,8.42799603684895,-82.4309995027018
Aruba,Aruba,National and provincial capital,Oranjestad,12.5250030721906,-70.0260025193
Netherlands Antilles,Netherlands Antilles,National and provincial capital,Willemstad,12.1387860554443,-68.9705545257073
Colombia,La Guajira,Provincial capital,Riohacha,11.5520040021247,-72.8980015428646
Venezuela,Falcon,Provincial capital,Coro,11.4030000331197,-69.6779994855888
Panama,Veraguas,Provincial capital,Santiago,8.10099900238651,-80.9649984654399
Panama,Herrera,Provincial capital,Chitre,7.98000297721872,-80.4349974962347
Panama,Los Santos,Provincial capital,Las Tablas,7.76600099848507,-80.2770024690577
Nicaragua,Rio San Juan,Provincial capital,San Carlos,11.199996098377,-84.8332974857051
Costa Rica,Guanacaste,Provincial capital,Liberia,10.6260031186919,-85.4369995812441
Costa Rica,Puntarenas,Provincial capital,Puntarenas,9.96900303909747,-84.8429996271608
Panama,San Blas,Provincial capital,El Porvenir,9.5432130875067,-78.9598524938996
Panama,Colon,Provincial capital,Colon,9.35511310756313,-79.8953484987304
Panama,Panama,National and provincial capital,Panama,9.00287998055526,-79.5170785037502
Panama,Cocle,Provincial capital,Penonome,8.51300102097581,-80.3549965724786
Ecuador,Esmeraldas,Provincial capital,Esmeraldas,0.954000043506362,-79.6599984660244
Colombia,San Andres y Providencia,Provincial capital,San Andres,12.5621371088657,-81.6903265824372
Honduras,Islas de la Bahia,Provincial capital,Roatan,16.3299959876588,-86.5189976076362
Honduras,Colon,Provincial capital,Trujillo,15.9166171450249,-85.9486225971923
Honduras,Atlantida,Provincial capital,La Ceiba,15.7550039831231,-86.871995600117
Honduras,Gracias a Dios,Provincial capital,Puerto Lempira,15.25699812104,-83.7809994735655
Honduras,Olancho,Provincial capital,Juticalpa,14.6660040121425,-86.2190005560427
Nicaragua,Zelaya,Provincial capital,Bluefields,12.0110040418634,-83.7659965595381
El Salvador,Morazan,Provincial capital,San Francisco Gotera,13.699998116031,-88.1000005209622
Honduras,Valle,Provincial capital,Nacaome,13.5279990341937,-87.4889996031503
El Salvador,San Miguel,Provincial capital,San Miguel,13.4730000436052,-88.1769955995324
El Salvador,Usulutan,Provincial capital,Usulutan,13.3460010986997,-88.4320016157954
El Salvador,La Union,Provincial capital,La Union,13.3319970440393,-87.8390005210791
Honduras,Choluteca,Provincial capital,Choluteca,13.3029990114691,-87.1939975103262
El Salvador,Cuscatlan,Provincial capital,Cojutepeque,13.7167020365914,-88.9333015955987
El Salvador,Santa Ana,Provincial capital,Santa Ana,13.995999068222,-89.5529965284143
El Salvador,Ahuachapan,Provincial capital,Ahuachapan,13.9190039896518,-89.8450015466865
El Salvador,Cabanas,Provincial capital,Sensuntepeque,13.8666960943294,-88.6332956078875
El Salvador,Sonsonate,Provincial capital,Sonsonate,13.7210041152798,-89.7190016266316
El Salvador,San Salvador,National and provincial capital,San Salvador,13.7014110155133,-89.2002325298277
El Salvador,La Libertad,Provincial capital,Nueva San Salvador,13.6739969925291,-89.28999847883
El Salvador,San Vicente,Provincial capital,San Vicente,13.6410030260401,-88.7849996082761
El Salvador,La Paz,Provincial capital,Zacatecoluca,13.5080009959131,-88.8679976065841
Belize,Toledo,Provincial capital,Punta Gorda,16.1160031105264,-88.8000025223035
Guatemala,Izabal,Provincial capital,Puerto Barrios,15.7269960392859,-88.5969985875607
Guatemala,Zacapa,Provincial capital,Zacapa,14.9720039834738,-89.5290025562149
Guatemala,Chiquimula,Provincial capital,Chiquimula,14.7969990564506,-89.5439965341247
Honduras,Copan,Provincial capital,Santa Rosa,14.7660031396628,-88.7779974982041
Guatemala,Jalapa,Provincial capital,Jalapa,14.6330011095359,-89.9890016208043
Honduras,Ocotepeque,Provincial capital,Nueva Ocotepeque,14.4369991193815,-89.1819985473544
Guatemala,Jutiapa,Provincial capital,Jutiapa,14.2900021361954,-89.8970036282067
El Salvador,Chalatenango,Provincial capital,Chalatenango,14.0720040580592,-89.0939964886756
Honduras,Cortes,Provincial capital,San Pedro Sula,15.5019960165614,-88.0280005666451
Honduras,Yoro,Provincial capital,Yoro,15.0599971060349,-87.290000538444
Honduras,Santa Barbara,Provincial capital,Santa Barbara,14.9190030425866,-88.235999625641
Honduras,Lempira,Provincial capital,Gracias,14.5833030570028,-88.5833005121862
Honduras,Comayagua,Provincial capital,Comayagua,14.4540000831101,-87.6429985309247
Honduras,Intibuca,Provincial capital,La Esperanza,14.3330040579423,-88.1666995372239
Honduras,La Paz,Provincial capital,La Paz,14.3199990281326,-87.684002568454
Honduras,Francisco Morazan,National and provincial capital,Tegucigalpa,14.0990040409282,-87.2029975046159
Nicaragua,Chinandega,Provincial capital,Chinandega,12.6240030093766,-87.1299985254481
Nicaragua,Boaco,Provincial capital,Boaco,12.4710031064528,-85.6600015542673
Nicaragua,Leon,Provincial capital,Leon,12.4329961434754,-86.8809955944066
Nicaragua,Managua,National and provincial capital,Managua,12.1509990804611,-86.2730005217805
Nicaragua,Chontales,Provincial capital,Juigalpa,12.1040010593117,-85.3700035218141
Nicaragua,Masaya,Provincial capital,Masaya,11.9690009794835,-86.0949985202054
