Ticker;Nev;Sector;Price;Employees;Optionable;Shortable;Market_Cap;Income;Sales;PperE_ratio;BookValuePerShare;CashPerShare;ROA;ROE;ROI;recom
SCG;SCANA Corp;Utilities;66.53;5829;1;1;9.54;0.746;4.38;12.81;38.09;1.23;0.045;0.139;0.085;2.6
SCHW;Charles Schwab Corporation;Financial;29.72;15300;1;1;38.38;1.47;6.75;26.86;10.98;;0.008;0.118;0.01;2.3
SE;Spectra Energy Corp.;Basic Materials;31.01;6000;1;1;21.43;0.196;5.23;105.81;9.73;0.33;0.006;0.027;0.06;2.5
SEE;Sealed Air Corp.(New);Consumer Goods;51.98;23000;1;1;10.09;0.3332;7.03;31.77;2.7;1.83;0.043;0.417;0.113;2.2
SHW;Sherwin-Williams;Basic Materials;299.1;40706;1;1;27.43;1.05;11.34;26.8;9.46;;;;0.396;2.1
SIG;Signet Jewelers;Services;111.91;29057;1;1;8.59;0.4679;6.55;18.58;38.79;1.75;0.074;0.16;0.115;1.8
SJM;Smucker (J.M.);Consumer Goods;126.15;7370;1;1;15.06;0.4059;7.45;38.22;61.47;1.19;0.024;0.056;0.045;2.5
SLB;Schlumberger Ltd.;Basic Materials;79.93;95000;1;1;109.99;2.07;35.53;48.74;28.33;9.33;0.047;0.082;0.039;1.9
SLG;SL Green Realty;Financial;105.25;1177;1;1;10.59;0.2479;1.72;43.6;70.43;3.16;0.013;0.036;;2.1
SNA;Snap-On Inc.;Industrial Goods;160.65;11500;1;1;9.37;0.4787;3.35;19.96;43.31;1.83;0.113;0.207;0.165;2
SNDK;SanDisk Corporation;Technology;75.49;8790;1;1;15.23;0.3885;5.56;40.9;28.62;19.9;0.042;0.068;0.06;2.9
SNI;Scripps Networks Interactive Inc.;Services;65.04;3500;1;1;8.07;0.6068;3.02;13.7;11.79;1.77;0.105;0.436;0.137;2.7
SO;Southern Co.;Utilities;49.26;26703;1;1;44.98;2.37;17.49;18.99;22.63;1.54;0.032;0.116;0.063;3.2
SPG;Simon Property Group Inc;Financial;202.14;3150;1;1;62.13;1.82;5.27;34.63;14.31;2.3;0.06;0.392;;1.9
SPLS;Staples Inc.;Services;10.5;42554;1;1;6.79;0.379;21.06;17.83;8.33;1.27;0.037;0.071;0.082;2.9
SRCL;Stericycle Inc;Industrial Goods;123.98;25472;1;1;10.39;0.2569;2.99;41.18;32.16;0.66;0.049;0.11;0.058;2.1
SRE;Sempra Energy;Utilities;101.14;17387;1;1;25.09;1.35;10.19;18.87;47.48;1.63;0.033;0.116;0.057;2.1
STI;SunTrust Banks;Financial;41.96;24043;1;1;21.35;1.86;5.27;11.71;43.68;23.05;0.01;0.084;0.125;2.4
STJ;St Jude Medical;Healthcare;60.67;18000;1;1;17.12;0.713;5.64;24.29;14.31;1.15;0.062;0.178;0.093;2.3
STT;State Street Corp.;Financial;61.89;32356;1;1;24.69;1.85;2.48;13.72;45.77;266.28;0.007;0.099;0.048;2.7
STX;Seagate Technology;Technology;25.32;52350;1;1;7.83;0.627;12.17;13.36;6.09;4.25;0.066;0.252;;2.8
STZ;Constellation Brands;"Beverages - Wineries &amp; Distillers";154.85;7200;1;1;31.37;1.05;6.55;33.77;32.9;0.42;0.066;0.168;0.09;
SWK;Stanley Black & Decker;Industrial Goods;111.67;51250;1;1;16.81;0.9038;11.17;18.79;38.86;2.34;0.058;0.159;0.111;2.5
SWKS;Skyworks Solutions;Technology;71.5;6700;1;1;13.48;0.9584;3.38;14.39;18.29;6.47;0.265;0.306;;1.9
SWN;Southwestern Energy;Basic Materials;12.27;2597;1;1;4.1;-4.662;3.13;;3;4.71;-0.575;-1.668;-0.646;3.1
SYF;Synchrony Financial;Financial;30.5;12000;1;1;25.32;2.21;13.23;11.49;15.13;14.82;0.028;0.187;0.212;1.8
SYK;Stryker Corp.;Healthcare;109.4;27000;1;1;40.83;1.44;9.95;28.93;23.6;20.07;0.094;0.189;;2.3
SYMC;Symantec Corp.;Technology;18.01;19000;1;1;11.86;0.368;4.25;33.58;8.11;3.46;0.058;0.127;0.116;2.9
SYY;Sysco Corp.;Services;45.77;51700;1;1;26.25;0.7668;48.86;35.59;6.95;1.05;0.049;0.155;0.072;3
T;AT&T Inc;Technology;38.07;281450;1;1;235.79;13.35;146.8;16.88;19.88;0.83;0.046;0.158;0.071;2.3
TAP;Molson Coors Brewing Company;Consumer Goods;95.63;15100;1;1;20.7;0.3556;3.57;50.57;38.13;2.01;0.028;0.049;0.047;2.2
TDC;Teradata Corp.;Technology;26.61;11300;1;1;3.48;-0.214;2.53;;6.43;6.35;-0.078;-0.191;-0.163;3.2
TE;TECO Energy;Utilities;27.72;3713;1;1;6.52;0.2405;2.74;27.1;10.66;0.1;0.02;0.067;0.061;3
TEL;TE Connectivity Ltd.;Technology;61.22;72000;1;1;22.21;1.2;11.89;19.57;20.35;3.12;0.107;0.24;0.105;2.1
TGNA;Tegna;Services;23.84;10020;1;1;5.22;0.3575;3.05;15.42;9.76;0.59;0.09;0.324;0.111;2.2
TGT;Target Corp.;Services;82.33;341000;1;1;49.81;3.32;73.79;15.65;21.23;6.71;0.083;0.248;0.153;2.5
TIF;Tiffany & Co.;Services;73.03;12200;1;1;9.18;0.464;4.1;20.04;22.85;6.96;0.09;0.161;0.128;2.4
TJX;TJX Companies Inc.;Services;76.53;216000;1;1;51.01;2.28;30.94;22.9;6.42;3.67;0.238;0.639;;1.8
TMK;Torchmark Corp.;Financial;57.13;3115;1;1;6.81;0.5163;3.77;14;32.97;0.51;0.026;0.12;0.112;3.3
TMO;Thermo Fisher Scientific;Healthcare;146.85;52000;1;1;57.86;1.98;16.97;29.75;53.43;;0.048;0.095;0.07;1.6
TRIP;TripAdvisor;Technology;63.34;3008;1;1;9.15;0.198;1.49;46.09;9.78;4.52;0.091;0.154;0.131;3
TROW;T. Rowe Price Group;Financial;77.58;5999;1;1;19.07;1.21;4.2;16.5;19.09;4.73;0.278;0.311;0.235;2.7
TRV;The Travelers Companies Inc.;Financial;110.84;30900;1;1;32.46;3.28;26.91;10.35;82.14;1.23;0.032;0.136;0.127;2.8
TSCO;Tractor Supply Company;Services;94.45;12000;1;1;12.67;0.42;6.36;30.82;10.12;0.56;0.174;0.307;0.265;2
TSN;Tyson Foods;Consumer Goods;63.07;113000;1;1;23.22;1.37;39.71;19.09;24.71;3.28;0.059;0.143;0.09;1.9
TSO;Tesoro Petroleum Co.;Basic Materials;86.2;6000;1;1;10.37;1.54;28.71;7;43.48;7.86;0.093;0.309;;2.5
TSS;Total System Services;Financial;51;10500;1;1;9.38;0.3595;2.78;26.31;10.14;2.14;0.114;0.243;0.117;2.7
TWC;Time Warner Cable Inc.;Services;201.45;56600;1;1;59.63;1.83;23.7;32.76;31.76;4.11;0.037;0.212;0.102;2.6
TWX;Time Warner Inc.;Services;76.65;24800;1;1;60.96;3.79;28.12;16.62;29.58;2.7;0.076;0.201;0.11;2.1
TXN;Texas Instruments;Technology;58.68;29977;1;1;59.51;2.94;13;20.88;9.83;3.19;0.174;0.291;0.216;2.5
TXT;Textron Inc.;Industrial Goods;39.78;35000;1;1;10.43;0.721;13.55;14.98;18.27;2.7;0.048;0.149;0.101;1.9
TYC;Tyco International;Services;39.19;57000;1;1;16.6;0.525;9.8;31.85;9.46;0.71;0.039;0.112;0.109;2.4
UA;Under Armour;Consumer Goods;46.99;5800;1;1;10.12;0.2326;3.96;60.19;7.73;0.6;0.083;0.155;0.109;1
UAL;United Continental Holdings;Services;50.74;84000;1;1;18.45;7.34;37.86;2.53;22.15;10.63;0.176;0.969;0.4;2.1
UDR;UDR Inc;Financial;36;1569;1;1;9.6;0.085;0.8946;111.22;10.94;0.03;0.047;0.12;0.025;3
UHS;Universal Health Services, Inc.;Healthcare;129.18;72600;1;1;12.3;0.6802;9.04;18.92;43.18;0.64;0.074;0.166;0.112;2.1
ULTA;Ulta Salon Cosmetics & Fragrance Inc;Services;205.39;9700;1;1;13.02;0.32;3.92;41.62;22.67;7.58;0.148;0.234;;2
UNH;United Health Group Inc.;Healthcare;134.13;2.00E+05;1;1;126.07;6.01;165.88;21.51;36.26;13.81;0.056;0.178;0.101;1.8
UNM;Unum Group;Financial;33.92;9400;1;1;8.16;0.8671;10.76;9.61;35.68;0.46;0.014;0.101;0.089;2.4
UNP;Union Pacific;Services;89.63;43655;1;1;73.94;4.6;21.03;16.4;24.26;3.17;0.084;0.222;0.148;2.1
UPS;United Parcel Service;Services;105.52;266000;1;1;92.38;4.84;58.36;19.64;2.74;5.37;0.128;2.369;0.308;2.4
URBN;Urban Outfitters;Services;31.29;9360;1;1;3.57;0.2245;3.45;17.07;9.6;2.81;0.119;0.182;0.177;2.4
URI;United Rentals, Inc.;Services;66.01;12700;1;1;5.87;0.562;5.81;10.89;16.58;2.42;0.046;0.379;0.118;2.7
USB;U.S. Bancorp;Financial;43.3;65433;1;1;74.78;5.57;12.56;13.6;23.75;;0.013;0.138;0.107;2.5
UTX;United Technologies;Industrial Goods;105.7;197000;1;1;88.84;4;56.1;23.45;32.4;8.38;0.099;0.309;0.108;2.3
V;Visa Inc.;Financial;79.11;11300;1;1;191.63;6.69;14.06;29.95;12.19;8.11;0.146;0.234;;2
VAR;Varian Medical Systems;Healthcare;85.17;7300;1;1;8.07;0.4072;3.12;20.72;16.75;;0.114;0.242;0.184;2.6
VFC;V.F. Corp.;Consumer Goods;64.07;64000;1;1;26.79;1.23;12.38;22.24;12.65;2.24;0.123;0.239;0.181;2
VIAB;Viacom Inc.;Services;43.78;9200;1;1;16.77;1.87;13.08;9.25;9.34;0.84;0.085;0.603;0.164;2.7
VLO;Valero Energy;Basic Materials;61.24;10103;1;1;29.59;3.99;87.8;7.82;42.85;8.59;0.087;0.19;0.161;1.9
VMC;Vulcan Materials;Industrial Goods;108.89;6799;1;1;14.57;0.2329;3.42;63.67;33.34;2.13;0.027;0.051;0.071;1.8
VNO;Vornado Realty Trust;Financial;95.42;4089;1;1;17.91;0.6275;2.5;28.99;28.75;9.86;0.038;0.145;0.051;2.5
VRSK;Verisk Analytics;Services;78.19;7647;1;1;13.14;0.5076;2.07;26.06;8.1;0.85;0.105;0.476;0.116;2.2
VRSN;Verisign Inc.;Technology;88.64;1019;1;1;9.76;0.3752;1.06;31.65;-9.65;17.52;0.148;-0.371;0.617;3.4
VRTX;Vertex Pharmaceuticals Inc;Healthcare;86.8;1950;1;1;21.11;-0.5563;1.03;;3.87;4.23;-0.235;-0.596;-0.281;2
VTR;Ventas Inc;Financial;60.49;466;1;1;20.36;0.3882;3.29;53.04;29.32;0.16;0.023;0.051;0.037;2.7
VZ;Verizon Communications;Technology;50.55;177700;1;1;204.97;17.88;131.62;11.62;4.03;1.19;0.074;1.421;0.183;2.5
WAT;Waters Corporation;Healthcare;138.14;6600;1;1;11.1;0.4691;2.04;24.34;25.2;29.72;0.115;0.24;0.133;2.7
WBA;Walgreens Boots Alliance;Services;80.14;245000;1;1;87.3;3.37;116.53;26.19;27.32;3.3;0.049;0.11;0.08;2.3
WDC;Western Digital;Technology;43.66;76449;1;1;10.02;1.14;13.42;8.94;41.19;25.35;0.075;0.122;0.127;2
WEC;Wisconsin Energy Corporation;Utilities;56.65;8211;1;1;17.94;0.6385;5.93;24.13;27.41;0.16;0.025;0.084;0.043;2.5
WFC;Wells Fargo;Financial;50.62;264700;1;1;256.37;21.09;50.29;12.41;34.17;77.39;0.012;0.124;0.088;2.4
WFM;Whole Foods Market;Services;29.76;61700;1;1;9.58;0.525;15.55;19.93;9.68;2.51;0.115;0.183;0.135;3.1
WHR;Whirlpool Corp.;Consumer Goods;187.31;97000;1;1;14.4;0.783;20.89;18.94;60.73;9.98;0.04;0.162;0.123;1.9
WLTW;Willis Towers Watson;Financial;123.79;19300;1;1;16.93;0.373;3.83;22.72;32.71;3.87;0.021;0.16;0.084;2.2
WM;Waste Management Inc.;Industrial Goods;56.39;40600;1;1;25.04;0.753;12.96;33.9;11.95;;0.037;0.14;0.083;2.4
WMB;Williams Cos.;Basic Materials;19.54;6578;1;1;14.28;-0.571;7.36;;8.21;0.13;-0.011;-0.077;-0.024;2.2
WMT;Wal-Mart Stores;Services;68.72;2300000;1;1;217.26;14.69;482.13;15.19;25.45;2.67;0.073;0.186;0.134;2.9
WRK;Westrock Co;Consumer Goods;40.74;41400;1;1;10.24;-0.0716;12.55;73.46;42.61;0.92;-0.004;-0.009;0.036;1.9
WU;Western Union Co;Financial;20.07;10000;1;1;9.9;0.8378;5.48;12.31;2.78;2.66;0.084;0.62;0.217;3
WY;Weyerhaeuser Corp.;Industrial Goods;32.26;12600;1;1;24.04;0.462;7.08;35.87;9.5;1.34;0.036;0.094;;1.8
WYN;Wyndham Worldwide;Services;76.17;37700;1;1;8.68;0.612;5.54;14.67;8.26;1.5;0.075;0.715;0.115;2.1
WYNN;Wynn Resorts Ltd;Services;96;20800;1;1;9.23;0.1953;4.08;47.36;-1.11;21.62;0.02;-1.083;;2.6
XEC;Cimarex Energy;Basic Materials;108.78;925;1;1;9.89;-2.4089;1.45;;30.06;8.37;-0.357;-0.664;-0.551;2.2
XEL;Xcel Energy Inc;Utilities;39.05;11601;1;1;19.9;0.9845;11.02;20.21;20.85;0.17;0.026;0.095;0.059;2.7
XL;XL Capital;Financial;35.89;7200;1;1;10.63;1.21;9.42;8.73;39.28;10.95;0.021;0.105;0.081;2.2
XLNX;Xilinx Inc;Technology;45.87;3451;1;1;11.74;0.5405;2.21;22.56;10.16;13.25;0.11;0.206;0.158;2.5
XOM;Exxon Mobil Corp.;Basic Materials;87.53;73500;1;1;365.13;16.15;259.49;22.69;40.85;0.89;0.047;0.094;0.036;3
XRAY;Dentsply Sirona;Healthcare;60.72;11400;1;1;14.34;0.2512;2.67;34.64;16.7;1.21;0.057;0.11;0.085;2.3
XRX;Xerox Corp.;Technology;11.17;143600;1;1;9.8;0.528;18.05;20;8.91;1.35;0.018;0.047;0.04;2.6
XYL;Xylem Inc.;Industrial Goods;42.46;12700;1;1;7.56;0.34;3.65;22.52;11.63;3.79;0.073;0.166;0.118;2.5
YHOO;Yahoo Inc.;Technology;37.48;10400;1;1;35.43;-4.4795;4.83;;30.11;6.28;;;-0.153;2.4
YUM;Yum! Brands Inc;Services;81.19;505000;1;1;33.34;1.32;13.1;26.82;0.38;;0.161;1.185;0.294;2.5
ZBH;Zimmer Biomet Holdings;Healthcare;114.76;17500;1;1;23.31;0.147;6;160.14;48.64;7.99;0.013;0.035;;2.1
ZION;Zions Bancorp;Financial;27.28;10200;1;1;5.47;0.2466;1.83;22.55;32.76;42.43;0.004;0.038;;2.3
ZTS;Zoetis;Healthcare;48.64;9000;1;1;23.58;0.339;4.77;70.1;2.14;2.32;0.049;0.285;0.057;2
