Ticker;Nev;Sector;Price;Employees;Optionable;Shortable;Market_Cap;Income;Sales;PperE_ratio;BookValuePerShare;CashPerShare;ROA;ROE;ROI;recom
CAT;Caterpillar Inc.;Industrial Goods;78.32;105700;1;1;44.91;2.1;47.01;22.29;25.38;11.05;0.026;0.13;0.048;3.2
CB;Chubb Limited;Financial;119.3;22000;1;1;54.65;2.83;19.14;13.82;89.74;3.87;0.028;0.096;0.078;2
CBG;CBRE Group;Financial;30.52;70000;1;1;10.02;0.5471;10.86;18.46;8.13;;0.061;0.219;0.072;1.7
CBS;CBS Corp.;Services;56.49;16260;1;1;25.44;1.4;13.89;19.67;11.86;0.71;0.059;0.237;0.131;2
CCE;Coca-Cola Enterprises;Consumer Goods;51.83;11500;1;1;11.8;0.596;7.01;20.41;4.2;0.75;0.073;0.597;0.149;2.8
CCI;Crown Castle International Corp.;Technology;87.75;2700;1;1;28.8;0.4813;3.66;60.5;21.28;0.54;0.069;0.209;0.051;2.2
CCL;Carnival Corp.;Services;48.51;92200;1;1;37.92;1.85;15.84;20.73;29.54;1.01;0.048;0.079;0.078;2.3
CELG;Celgene Corp.;Healthcare;110.52;6971;1;1;86.9;1.6;9.26;57.08;7.53;8.34;0.071;0.263;0.088;1.8
CERN;Cerner;Technology;58.51;22200;1;1;19.9;0.5394;4.43;38.08;11.35;1.51;0.098;0.141;0.12;1.7
CF;CF Industries Holdings Inc;Basic Materials;33.24;2800;1;1;7.96;0.6999;4.31;11.24;17.3;1.19;0.058;0.171;;2.5
CFG;Citizens Financial Group;Financial;23.62;17100;1;1;12.33;0.833;3.85;15.1;36.77;9.48;0.006;0.043;0.091;2
CHD;Church & Dwight;Consumer Goods;92.03;4400;1;1;11.77;0.4104;3.39;30.12;15.5;2.59;0.096;0.206;0.146;2.8
CHK;Chesapeake Energy;Basic Materials;6.55;4400;1;1;4.12;-14.856;12.76;;-1.4;1.28;-0.585;-3.666;-1.447;3.3
CHRW;C. H. Robinson Worldwide;Services;74.56;13159;1;1;10.86;0.5097;13.48;21.27;8.01;1.15;0.154;0.458;0.266;2.5
CI;CIGNA Corp.;Healthcare;141.82;39300;1;1;35.56;2.09;37.97;17.37;46.99;7.76;0.037;0.182;0.121;2.3
CINF;Cincinnati Financial;Financial;64.59;4493;1;1;10.52;0.634;5.14;16.96;39.26;3.34;0.034;0.098;0.094;3
CL;Colgate-Palmolive;Consumer Goods;69.06;37900;1;1;61.86;1.38;16.03;45.97;-0.33;1.16;0.106;6.363;0.251;2.8
CLX;The Clorox Company;Consumer Goods;122.45;7700;1;1;16.02;0.657;5.69;24.86;1.53;3.01;0.165;3.723;0.262;3.2
CMA;Comerica Inc.;Financial;44.02;8533;1;1;7.69;0.515;1.78;15.34;42.95;35.57;0.007;0.068;0.124;2.8
CMCSA;Comcast A Corp;Services;61.1;153000;1;1;147.56;8.16;74.51;18.82;21.33;0.99;0.051;0.157;0.105;1.8
CME;CME Group Inc.;Financial;94.2;2530;1;1;31.34;1.25;3.33;25.39;61.01;5.28;0.017;0.059;;2.5
CMG;Chipotle Mexican Grill;Services;442.73;59330;1;1;13.26;0.4756;4.5;29.36;68.59;22.17;0.17;0.213;;2.7
CMI;Cummins Inc.;Industrial Goods;116.11;55200;1;1;20.16;1.4;19.11;14.7;42.21;10.32;0.089;0.182;0.166;3
CMS;CMS Energy;Utilities;39.65;7750;1;1;10.92;0.523;6.46;20.92;14.26;0.96;0.027;0.135;0.066;2.6
CNC;Centene Corporation;Healthcare;62.35;18200;1;1;7.51;0.356;22.76;21.74;18.05;14.73;0.05;0.178;0.108;1.9
CNP;CenterPoint Energy;Utilities;20.81;7505;1;1;9.07;-0.692;7.39;;8.04;2.48;-0.031;-0.166;0.108;2.5
COF;Capital One Financial;Financial;75.56;45400;1;1;39.8;3.83;20.46;10.73;89.1;15.04;0.012;0.083;0.146;2.4
COG;Cabot Oil & Gas;Basic Materials;23.26;459;1;1;10.39;-0.1139;1.36;;4.85;0;-0.021;-0.054;-0.004;2.4
COH;Coach Inc.;Consumer Goods;40.28;15800;1;1;11.16;0.3663;4.24;30.52;9.25;4.82;0.08;0.145;0.121;2.5
COL;Rockwell Collins;Industrial Goods;90.01;19500;1;1;11.6;0.667;5.16;17.79;15.16;2.31;0.09;0.342;0.188;2.2
COP;ConocoPhillips;Basic Materials;47.62;15900;1;1;57.55;-4.428;29.46;;31.97;;-0.042;-0.098;-0.065;2.5
COST;Costco Co.;Services;149.92;117000;1;1;67.18;2.31;117.27;29.02;25.02;10.95;0.069;0.215;0.145;2.1
CPB;Campbell Soup;Consumer Goods;60.64;18600;1;1;18.62;0.709;8;26.84;4.92;1;0.088;0.479;0.144;3.1
CPGX;Columbia Pipeline Group Inc;Basic Materials;25.61;1968;1;1;10.18;0.2676;1.33;31.16;11.23;2.34;0.029;0.081;0.055;2.8
CRM;Salesforce.com;Technology;76.48;19000;1;1;51.78;-0.0474;6.67;;7.48;1.98;-0.004;-0.01;0;1.8
CTAS;Cintas Corporation;Services;89.7;32000;1;1;9.51;0.4332;4.78;23.06;18.08;3.64;0.156;0.345;0.141;2.8
CTL;CenturyLink Inc;Technology;31.39;43000;1;1;17.03;0.878;17.9;19.62;25.96;0.23;0.018;0.061;0.063;2.9
CTSH;Cognizant Technology Solutions;Technology;60.44;221700;1;1;36.62;1.62;12.42;22.75;15.26;8.14;0.134;0.186;0.152;1.7
CTXS;Citrix Systems;Technology;82.9;9500;1;1;12.92;0.3739;3.34;35.07;13.26;7.4;0.068;0.179;0.108;2.5
CVC;Cablevision Systems Corp.;Services;33.63;12920;1;1;9.31;0.188;6.51;49.52;-18.17;5.29;0.026;-0.035;0.146;3
CVS;CVS Health;Healthcare;101.44;155000;1;1;111.12;5.23;153.29;21.94;33.63;2.34;0.063;0.141;0.094;1.8
CVX;Chevron Corp.;Basic Materials;102.01;61500;1;1;190.17;4.59;129.65;41.5;81.71;6.05;0.017;0.03;-0.001;2.3
CXO;Concho Resources;Basic Materials;114.26;1121;1;1;14.6;0.0653;1.8;210.8;54.4;1.77;0.006;0.012;0.034;2
CSCO;Cisco Systems;Technology;28.15;71833;1;1;142.51;10.33;49.59;13.98;12.01;11.96;0.093;0.173;0.101;2.2
CSRA;CSRA Inc.;Technology;26.66;19000;1;1;4.37;0.2169;3.96;20.42;1.26;1.26;0.15;0.544;0.22;1.8
CSX;CSX Corp.;Services;27.53;29000;1;1;26.11;1.88;11.4;14.12;12.05;1.15;0.055;0.162;0.109;2.3
D;Dominion Resources;Utilities;70.06;14700;1;1;42.92;1.9;11.68;21.94;21.26;0.99;0.034;0.153;0.063;2.3
DAL;Delta Air Lines;Services;44.62;83817;1;1;34.16;4.73;40.57;7.38;14.54;3.75;0.089;0.45;0.27;1.7
DD;Du Pont (E.I.);Basic Materials;65.97;52000;1;1;57.81;1.88;25.27;31.63;11.13;7.08;0.068;0.256;0.089;2.4
DE;Deere & Co.;Industrial Goods;82.8;57200;1;1;25.99;1.81;28;15.13;20.83;10.97;0.031;0.247;0.058;3
DFS;Discover Financial Services;Financial;56.51;15036;1;1;23.5;2.24;8.1;10.96;27.14;38.98;0.026;0.206;;1.8
DG;Dollar General;Services;81.44;113400;1;1;23.95;1.17;20.37;20.73;18.59;0.54;0.104;0.216;0.15;1.9
DGX;Quest Diagnostics;Healthcare;75.3;44000;1;1;10.65;0.706;7.49;15.48;32.53;0.94;0.07;0.158;0.123;2.9
DHI;D. R. Horton;Industrial Goods;31.14;6230;1;1;11.74;0.8131;11.31;14.24;16.88;3.24;0.073;0.136;;2.6
DHR;Danaher Corp.;Industrial Goods;96.42;81000;1;1;66.07;2.79;21.08;24.11;35.59;0.97;0.09;0.173;0.075;2
DIS;The Walt Disney Company;Services;103.77;185000;1;1;169.2;9.08;54.32;19.52;26.58;2.66;0.103;0.201;0.132;2.4
DISCA;Discovery Communications-A;Services;28.8;7000;1;1;11.14;0.686;6.39;17.72;12.79;0.98;0.043;0.126;0.112;2.8
DISCK;Discovery Communications-C;Services;27.95;5700;1;1;6.96;;6.39;17.34;8.59;;;;;3
DLPH;Delphi Automotive;Consumer Goods;75.73;139000;1;1;21.06;1.19;15.17;18.37;8.06;1.93;0.132;0.63;0.217;1.7
DLTR;Dollar Tree;Services;80.95;55300;1;1;19.25;0.2824;15.5;68.11;18.77;3.11;0.019;0.078;0.074;2.5
DNB;Dun & Bradstreet;Technology;110.01;5000;1;1;3.97;0.2042;1.64;19.57;-30.94;10.13;0.08;-0.143;0.371;2.9
DO;Diamond Offshore Drilling;Basic Materials;23.9;3400;1;1;3.17;-0.2743;2.42;;29.99;0.95;-0.036;-0.065;-0.029;3.4
DOV;Dover Corp.;Industrial Goods;67.35;26000;1;1;10.36;0.5959;6.96;17.79;23.85;1.57;0.088;0.21;0.112;3
DOW;Dow Chemical;Basic Materials;52.61;49500;1;1;58.24;7.29;48.78;8.89;19.34;7.74;0.106;0.367;0.207;2.2
DPS;Dr Pepper Snapple Group;Consumer Goods;86.62;19000;1;1;16.36;0.764;6.28;22.06;11.56;4.88;0.091;0.345;0.158;2.9
DRI;Darden Restaurants;Services;63.3;148892;1;1;8.1;0.3374;7.02;24.29;15.03;1.69;0.063;0.157;0.102;2.5
DTE;DTE Energy Co.;Utilities;85.77;10000;1;1;15.44;0.727;10.34;21.24;49.01;0.21;0.026;0.084;0.054;2.4
DUK;Duke Energy;Utilities;77.01;29188;1;1;52.42;2.8;23.46;19.06;57.74;;0.023;0.07;0.049;2.9
DVA;DaVita Inc.;Healthcare;74.9;60400;1;1;15.31;0.2697;13.78;60.59;23.34;9.31;0.014;0.054;0.062;2.3
DVN;Devon Energy Corp.;Basic Materials;35.2;6600;1;1;17.14;-14.459;13.15;;16.39;4.57;-0.386;-1.114;-0.727;2.1
EA;Electronic Arts;Technology;65.87;8400;1;1;20.49;0.652;4.27;34.41;9.68;10.39;0.107;0.208;0.245;1.9
EBAY;eBay Inc.;Services;24.4;11600;1;1;28;1.95;8.59;15.15;5.53;5.28;0.074;0.179;0.13;2.6
ECL;Ecolab Inc.;Consumer Goods;116.24;47000;1;1;33.71;1;13.55;34.8;23.34;0.32;0.053;0.146;0.094;2.2
ED;Consolidated Edison;Utilities;71.58;14806;1;1;21.09;1.19;12.55;17.82;44.5;3.24;0.027;0.092;0.067;3.4
EFX;Equifax Inc.;Financial;115.71;8000;1;1;13.86;0.4291;2.66;32.77;19.52;0.78;0.094;0.194;0.14;2
EIX;Edison Intl;Utilities;68.65;12768;1;1;22.4;0.985;11.52;22.91;34.87;0.49;0.02;0.09;0.065;2.2
EL;Estee Lauder Cos.;Consumer Goods;93.95;44000;1;1;34.89;1.18;11.06;30.47;9.75;3.84;0.142;0.324;0.216;2.1
EMC;EMC Corp.;Technology;26.57;72000;1;1;51.5;1.99;24.7;26.08;10.89;4.77;0.044;0.097;0.076;2.3
EMN;Eastman Chemical;Basic Materials;76.54;15000;1;1;11.29;0.848;9.65;13.41;26.52;1.97;0.054;0.226;0.101;2
EMR;Emerson Electric Company;Industrial Goods;55.47;110800;1;1;35.38;2.53;21.43;14.74;11.47;4.86;0.113;0.305;0.124;3
ENDP;Endo International;Healthcare;33.98;6406;1;1;6.73;-0.3001;3.27;;26.63;1.21;-0.084;-0.264;0.009;2.2
EOG;EOG Resources;Basic Materials;80.92;2760;1;1;43.58;-4.5245;8.77;;23.69;1.31;-0.147;-0.296;-0.219;2.2
