T2s_Id,Conpany_Name,Company_Description,Profile_URL,Address,Location
7887,Automatendreherei Peter Benesch,"Automatendreherei Peter Benesch&nbsp;manufactures parts and components with technical processes like&nbsp;Turning, Milling , Drilling, Thread cutting, Galvanizing,  Nickel coating, , Anodizing, , Grit blasting, Gold coating, Silver coating, Polishing.",http://www.tech2select.co.uk/automatendreherei-peter-benesch/,"Schuster-Str. 2c, 2111, Tresdorf, Austria","<Point><coordinates>16.3575423,48.3664031</coordinates></Point>"
3739,Dubai Wire FZE,"Dubai Wire FZE&nbsp;manufactures parts and components with technical processes like&nbsp;Sawing, Pushing, Hot rolling, Drop forging, Smith forging, Pressing, Welding, Cutting.",http://www.tech2select.co.uk/comp-3739/?setWindowname=1&ShowSupplierInfo=1,"P.O. BOX 11871, 11871, Dubai, United Arab Emirates","<Point><coordinates>55.3232682,25.0595474</coordinates></Point>"
8279,ORSO Lanskroun s.r.o.,"ORSO Lanskroun s.r.o.&nbsp;manufactures parts and components with technical processes like&nbsp;Milling , Surface Grinding, Grinding, Wire eroding, Erode, Welding.",http://www.tech2select.at/comp-8279/,"Nádrazni 191, 563 01, Lanskroun , Czech Republic","<Point><coordinates>16.6077003,49.9101386</coordinates></Point>"
7784,OBC Officine di Bagnolo Cremasco S.p.A.,"OBC Officine di Bagnolo Cremasco S.p.A.&nbsp;manufactures parts and components with technical processes like&nbsp;Thread cutting, Grinding, Surface Grinding, Drilling, Shaping, Sawing, Pressing, Grit blasting, Coating, Painting, Wire welding, Milling , Turning, Bending, Flame cutting.",http://www.tech2select.at/comp-7784/,"Strada Statale 235, 20070, Crespiatica, Italy","<Point><coordinates>9.5735379,45.3434493</coordinates></Point>"
7583,Zlievaren Trnava s.r.o.,"Zlievaren Trnava s.r.o.&nbsp;manufactures parts and components with technical processes like&nbsp;Machine casting, Dead mould casting, Art casting.",http://www.tech2select.co.uk/comp-7583/,"Coburgova 48, 91701, Trnava, Slovakia","<Point><coordinates>17.5773992,48.3633284</coordinates></Point>"
3755,"BURG-METAL Ipari, Kereskedelmi és Szolgáltó Kft.","BURG-METAL Ipari, Kereskedelmi és Szolgáltó Kft.&nbsp;manufactures parts and components with technical processes like&nbsp;Cutting, Edge Bending, Pushing, Welding, Spot-welding, Powder coating, Assembly.",http://www.tech2select.co.uk/comp-3755/,"Reiter k&ouml;z 13, 7020, Dunaf&ouml;ldvár, Hungary","<Point><coordinates>18.9242538,46.8032142</coordinates></Point>"
3696,B&ouml;hler Uddeholm Italia SPA,"B&ouml;hler Uddeholm Italia SPA&nbsp;manufactures parts and components with technical processes like&nbsp;Hot rolling, Drop forging, Smith forging, Pressing, Welding, Cutting, Sawing, Pushing.",http://www.tech2select.co.uk/comp-3696/?setWindowname=1&ShowSupplierInfo=1,"Via Palizzi 90, 20157, Milano, Italy","<Point><coordinates>9.135381,45.5084033</coordinates></Point>"
3545,SMCP Polska,"SMCP Polska&nbsp;manufactures parts and components with technical processes like&nbsp;Drilling, Erode, Milling , Turning.",http://www.tech2select.de/comp-3545/,"ul. Olowiana 10, 85461, Bydgoszcz, Poland","<Point><coordinates>17.9102966,53.1469073</coordinates></Point>"
7915,Egli Maschinenbau AG,"Egli Maschinenbau AG&nbsp;manufactures parts and components with technical processes like&nbsp;Drilling, Turning, Milling , Hardening, Electropolishing, Erode, Grinding, Surface Grinding, , Grit blasting, Sawing.",http://www.tech2select.co.uk/egli-maschinenbau-ag/,"Im Ifang 2, 5001, Aarau, Switzerland","<Point><coordinates>8.0376595,47.3873572</coordinates></Point>"
3408,Schondelmaier GmbH Presswerk,"Schondelmaier GmbH Presswerk&nbsp;manufactures parts and components with technical processes like&nbsp;Broaching, Gear cutting, Forging, Turning.",http://www.tech2select.co.uk/schondelmaier-gmbh-presswerk/,"Homberger Str. 18, 78132, Homberg, Germany","<Point><coordinates>9.3699286,51.0228816</coordinates></Point>"
8851,Petr Klobás kovovýroba,"Petr Klobás kovovýroba&nbsp;manufactures parts and components with technical processes like&nbsp;Milling , Grinding, Turning, Wire eroding, Welding, Spot-welding, Painting, Powder coating, Galvanizing, Anodizing, Edge Bending, Pressing, Cutting, Pushing, Thread cutting.",http://www.tech2select.at/comp-8851/,"Kosulicova 6, 619 00, Brno, Czech Republic","<Point><coordinates>16.612624,49.1673445</coordinates></Point>"
9783,Albrecht Pr&auml;zision,"Albrecht Pr&auml;zision&nbsp;manufactures parts and components with technical processes like&nbsp;Turning, Milling , Machining with maching center.",http://www.tech2select.at/albrecht-praezision/,"Beim Rot  21, 73340, Amstetten-Hofstett-Emerbuch, Germany","<Point><coordinates>9.91386,48.58409</coordinates></Point>"
