OBJECTID,Name,Longitude,Latitude,LocationDescription,RegionID,RegionName
13230,L.Ludzas : Canal,27.729999542236328,56.569999694824219,Latvia,,
13231,Busko Blato,17.033332824707031,43.599998474121094,Bosnia And Herzegowina,,
13232,Potpecko Jezero,19.600000381469727,43.5,Serbia And Montenegro,,
13233,Danube: Iantra,25.579999923706055,43.599998474121094,Bulgaria,,
13234,Durankulak Bay,28.530000686645508,43.599998474121094,Bulgaria,,
13235,Karakol Lake,52.630001068115234,42.270000457763672,Kazakhstan,,
13236,Gravi�res De Saint-Jory,1.0640000104904175,43.381000518798828,France,,
13237,Autres S�tes- 81 Tarn,2.1833333969116211,43.766666412353516,France,,
13238,Skradin Jezero,15.930000305175781,43.779998779296875,Croatia,,
13239,Torak Jezero Cikola,16.049999237060547,43.779998779296875,Croatia,,
13240,Visegrad Lakes,19.333333969116211,43.783332824707031,Bosnia And Herzegowina,,
13241,Danube: Nebuna,23.170000076293945,43.779998779296875,Bulgaria,,
13242,Danube: Zagrazhden,24.579999923706055,43.720001220703125,Bulgaria,,
13243,Danube: Dabovan,24.719999313354492,43.720001220703125,Bulgaria,,
13244,Danube: Nikopol Island,24.930000305175781,43.680000305175781,Bulgaria,,
13245,Danube: Somovit-Svishtov,25.170000076293945,43.669998168945313,Bulgaria,,
13246,Danube: Marten,25.930000305175781,43.680000305175781,Bulgaria,,
13247,Garvanovo Dam,25.969999313354492,43.819999694824219,Bulgaria,,
13248,Mangalia -Vama Veche,28.530000686645508,43.75,Romania,,
13249,Uch-Kosa (Coastal Sea),47.5,44,Russian Federation,,
13250,Florentin,2.0333333015441895,43.833332061767578,France,,
13251,Autres S�tes- 84 Vaucluse,5.2833333015441895,43.950000762939453,France,,
13252,Autres S�tes- 06 Alpes Maritime,7.25,43.916667938232422,France,,
13253,Visovacko Jezero,15.979999542236328,43.869998931884766,Croatia,,
13254,Meduvrsje Lakes,20.200000762939453,43.883335113525391,Serbia And Montenegro,,
13255,Danube: Island Of Bogdan,22.780000686645508,43.869998931884766,Bulgaria,,
13256,Danube: Vidin,22.920000076293945,43.970001220703125,Bulgaria,,
13257,Danube: Km 449,26.430000305175781,43.930000305175781,Bulgaria,,
13258,Olimp-Neptun,28.620000839233398,43.880001068115234,Romania,,
13259,Sligo Bay: Drumcliff Bay-Total,-8.6000003814697266,54.299999237060547,Ireland,,
13260,Sligo Bay: Ballisodare Bay-Total,-8.6000003814697266,54.180000305175781,Ireland,,
13261,Sligo Bay: Sligo Harbour-Rosses Point Beaches,-8.6000003814697266,54.299999237060547,Ireland,,
13262,Sligo Bay: Sligo Harbour-Port-Finisklin,-8.619999885559082,54.270000457763672,Ireland,,
13263,Sligo Bay: Ballisodare Bay-Cullenamore,-8.619999885559082,54.220001220703125,Ireland,,
13264,Sligo Bay: Sligo Harbour-Rosses Point Har,-8.6000003814697266,54.299999237060547,Ireland,,
13265,Sligo Bay: Ballisodare Bay-Ballinlig & Po,-8.619999885559082,54.200000762939453,Ireland,,
13266,Sligo Bay (Consolidated),-8.6000003814697266,54.299999237060547,Ireland,,
13267,Dunmoran Strand: Dunmoran Strand Long Rock,-8.7200002670288086,54.25,Ireland,,
13268,Dunmoran Strand: Total,-8.7299995422363281,54.25,Ireland,,
13269,Killala Bay: Bullockpark-Mount Ready,-9.1499996185302734,54.180000305175781,Ireland,,
13270,Killala Bay: Mount Ready,-9.25,54.200000762939453,Ireland,,
13271,Killala Bay: Killala-Bartragh-Barnasock,-9.1800003051757813,54.220001220703125,Ireland,,
13272,Killala Bay: Ross Bay,-9.1999998092651367,54.229999542236328,Ireland,,
13273,Killala Bay: Killala-Bartragh,-9.1999998092651367,54.220001220703125,Ireland,,
13274,The Mullet Broadhaven & Blacks: Mullet West Shore,-9.9499998092651367,54.25,Ireland,,
13275,Morava: Nedakonice-Veseli,17.520000457763672,49.150001525878906,Czech Republic,,
13276,Turiec River In Martin,18.916666030883789,49.083332061767578,Slovakia,,
13277,River Vah: Vrutky-Dubna Skala,18.833333969116211,49.116664886474609,Slovakia,,
13278,Besenova Reservoir,19.466667175292969,49.099998474121094,Slovakia,,
13279,Liptovska Mara Reservoir,19.399999618530273,49.116664886474609,Slovakia,,
13280,Besenova-Ruzomberok (River Vah),20.25,49.083332061767578,Slovakia,,
13281,Val De Seine De Vernon � Pont De L'Arche,1.1000000238418579,49.319999694824219,France,,
13282,Marais De Sacy,2.6800000667572021,49.479999542236328,France,,
13283,Vall�e De L'Oise: De Compiegne �  95,2.5,49.279998779296875,France,,
13284,Vall�e De La Mos�lle,6.119999885559082,49.330001831054687,France,,
13285,''St. Nikolaus-Weier'' Bei St. Nikolaus/Warndt,6.8239998817443848,49.172000885009766,Germany,,
13286,Schlammweiher Grube Warndt,6.8177781105041504,49.183330535888672,Germany,,
13287,Rehbruchweiher Bei Geislautern,6.8213891983032227,49.231109619140625,Germany,,
13288,Saar Bei Wadgassen,6.7899999618530273,49.273998260498047,Germany,,
13289,Waldweiher Burbach,6.9460000991821289,49.258998870849609,Germany,,
13290,Saar Von Schleuse Malstadt Bis Gersweiler Br�cke,6.9590001106262207,49.234001159667969,Germany,,
13291,Saar Von Gersweiler Br�cke Bis Werft Luisenthal,6.9250001907348633,49.242000579833984,Germany,,
13292,Weiher Am Westl. Ortsausgang Von Emmersweiler,6.8480000495910645,49.182998657226563,Germany,,
13293,Saar Von Saarbr�cke (A6) Bei G�dingen Bis ''Saartalbr�cke'',7.0229997634887695,49.21099853515625,Germany,,
13294,Weiher Im Netzbachtal Und Weiher Der Grube Camphausen,7.011110782623291,49.291938781738281,Germany,,
13295,Frankensee Bei Gommersheim,8.3104000091552734,49.308200836181641,Germany,,
13296,Kl�ranlage Gommersheim,8.2833003997802734,49.298099517822266,Germany,,
13297,Rhein: Km 344 - 397 Dettenheim - Altlu�heim,8.4099998474121094,49.25,Germany,,
13298,Rothsee,10.866669654846191,49.216670989990234,Germany,,
13299,Luznice: Roudna-Plana,14.649999618530273,49.299999237060547,Czech Republic,,
13300,Lovat': N. Of Velikiye Luki,30.670000076293945,56.5,Russian Federation,,
13301,Flade So & Orum So,8.3000001907348633,56.799999237060547,Denmark,,
13302,Agero,8.5500001907348633,56.700000762939453,Denmark,,
13303,Dunalka Pond,21.219999313354492,56.700000762939453,Latvia,,
13304,River Durbe : Rava-Dunalka,21.219999313354492,56.700000762939453,Latvia,,
13305,Vergale Pond,21.219999313354492,56.700000762939453,Latvia,,
13306,River Laza : Aizpute,21.530000686645508,56.700000762939453,Latvia,,
13307,Gailumuiza. Spring,21.5,56.729999542236328,Latvia,,
13308,Stroku Pond. Aizpute,21.600000381469727,56.700000762939453,Latvia,,
13309,River Lejejupe: Spristiki-Barauces,21.850000381469727,56.799999237060547,Latvia,,
13310,River Venta: Ieras-Ranki,22.020000457763672,56.799999237060547,Latvia,,
13311,River Ciecere: L.Cieceres-Saldus,22.5,56.669998168945313,Latvia,,
13312,Jaunpils. Pond,23.020000457763672,56.729999542236328,Latvia,,
13313,River Lielupe : Kalnciems,23.420000076293945,56.819999694824219,Latvia,,
13314,River Dzukste. Lancenieki,23.329999923706055,56.819999694824219,Latvia,,
13315,Ledmane,24.979999542236328,56.770000457763672,Latvia,,
13316,Murmastiena Ditch,26.600000381469727,56.720001220703125,Latvia,,
13317,River Aiviekste : L.Lubana,26.899999618530273,56.819999694824219,Latvia,,
13318,River Ica : Ruskulova,27.379999160766602,56.819999694824219,Latvia,,
13319,Velikaya:,28.979999542236328,56.669998168945313,Russian Federation,,
13320,Akmenrags-Pavilosta,21.100000381469727,56.869998931884766,Latvia,,
13321,River Saka : Pavilosta,21.229999542236328,56.900001525878906,Latvia,,
13322,River Varme : Varme,22.200000762939453,56.900001525878906,Latvia,,
13323,Lielupe. Jurmala,23.780000686645508,56.970001220703125,Latvia,,
13324,Marupe Pond,23.870000839233398,56.930000305175781,Latvia,,
