helyseg;lakos
Szõke;137
Oroszi;136
Szellõ;136
Vékény;136
Porpác;135
Rábaszentmiklós;135
Vállus;135
Balatonrendes;134
Borgáta;134
Döbörhegy;134
Kisfüzes;134
Zalaszegvár;134
Bakonykúti;133
Barnag;132
Bosta;132
Kisjakabfalva;132
Somogydöröcske;132
Szentpéterfölde;132
Udvar;132
Bokor;131
Kisszõlõs;131
Tarrós;130
Tikos;130
Apátvarasd;129
Bükkmogyorósd;129
Felsõegerszeg;129
Mezõd;129
Óbánya;129
Sárok;129
Zsebeháza;129
Lócs;128
Pusztaberki;128
Besence;126
Kerkakutas;126
Orbányosfa;126
Zalasárszeg;126
Cserhátszentiván;125
Felsõtold;125
Füzérkajata;125
Háromhuta;125
Fûzvölgy;124
Gyõröcske;124
Tófû;123
Vindornyafok;123
Hegymeg;122
Kányavár;122
Komlódtótfalu;122
Ormándlak;122
Vekerd;122
Kistamási;121
Barlahida;120
Kisdér;120
Monoszló;120
Szászfa;120
Vid;120
Edve;119
Fenyõfõ;119
Ivánbattyán;119
Zalaigrice;119
Nemesnép;118
Zalaújlak;118
Gétye;117
Szentborbás;116
Várad;116
Szõlõsardó;115
Nagymizdó;114
Pécsdevecser;114
Balatonhenye;113
Padár;112
Kaszó;110
Nagyhódos;109
Szentjakabfa;109
Filkeháza;108
Kisbudmér;108
Kiscsõsz;108
Ortaháza;108
Répceszentgyörgy;108
Babarcszõlõs;107
Újszalonta;107
Szorosad;106
Hegyhátszentpéter;105
Ispánk;104
Marócsa;104
Varga;103
Vöckönd;103
Galvács;102
Alsógagy;101
Hernyék;101
Ólmod;101
Bodorfa;100
Kerkafalva;100
Drávakeresztúr;99
Zsennye;98
Belsõsárd;97
Kétvölgy;97
Maglóca;97
Potyond;97
Csebény;96
Gyûrûs;96
Palé;96
Kemeneskápolna;95
Drávapiski;94
Németbánya;94
Pécsbagota;94
Daraboshegy;93
Gadács;93
Kallósd;91
Kaposgyarmat;91
Kutasó;91
Somogysimonyi;91
Szentkatalin;91
Erdõsmárok;90
Keménfa;90
Kisbeszterce;89
Halastó;87
Kisberzseny;87
Kiszsidány;87
Magyarlukafa;87
Imola;86
Lasztonya;86
Nemesborzova;85
Okorvölgy;85
Somogybükkösd;85
Szentmargitfalva;85
Döröske;84
Mérges;84
Tagyon;84
Kerkáskápolna;83
Sárfimizdó;83
Vöröstó;83
Keléd;82
Regéc;82
Abaújlak;81
Dinnyeberki;81
Kékkút;81
Vindornyalak;81
Csöde;80
Mogyoróska;80
Kishódos;79
Porrogszentpál;79
Vágáshuta;79
Fõnyed;78
Tésa;78
Irota;77
Velemér;77
Gömörszõlõs;76
Maróc;76
Bódvarákó;75
Somlóvecse;75
Szatta;75
Debercsény;73
Hetyefõ;73
Viszló;73
Abaújalpár;72
Markóc;72
Salföld;72
Bürüs;71
Gáborjánháza;71
Pányok;71
Gyalóka;70
Külsõsárd;69
Horváthertelend;68
Kispirit;68
Nagyhuta;68
Vadosfa;68
Almáskeresztúr;67
Murga;67
Szentkozmadombja;67
Szörény;66
Zebecke;66
Hegyhátszentmárton;65
Orfalu;65
Rábasebes;65
Zalaszentmárton;65
Almásháza;63
Döbröce;63
Kovácsszénája;62
Patca;62
Hosztót;61
Husztót;61
Arka;59
Alsószenterzsébet;57
Cakóháza;57
Garáb;57
Kemse;56
Ligetfalva;56
Varbóc;56
Tengeri;55
Valkonya;55
Börzönce;54
Gosztola;54
Rinyaújnép;54
Óbudavár;53
Kány;52
Pördefölde;52
Kozmadombja;51
Baglad;50
Égerszög;50
Bakonyság;49
Szaknyér;49
Kára;47
Hosszúvíz;46
Iklanberény;46
Zalaszombatfa;45
Kisvásárhely;44
Nyésta;44
Bödeháza;43
Márokföld;43
Zalameggyes;43
Pamlény;41
Gombosszeg;36
Becskeháza;35
Sénye;35
Szárász;35
Litka;34
Csér;31
Libickozma;31
Perecse;31
Ramocsa;31
Keresztéte;30
Sima;30
Magyarföld;29
Szijártóháza;28
Csertalakos;27
Dötk;27
Nemesmedves;27
Pusztaapáti;27
Teresztenye;27
Zalaköveskút;27
Lendvadedes;25
Megyer;23
Debréte;19
Lendvajakabfa;19
Felsõszenterzsébet;17
Tornakápolna;15
Tornabarakony;14
Gagyapáti;13
Iborfia;9
