helyseg;lakos
Apc;2536
Kocs;2536
Arnót;2529
Segesd;2528
Sárkeresztúr;2524
Bagamér;2523
Bekecs;2521
Szentistván;2520
Szabadkígyós;2519
Fényeslitke;2516
Kadarkút;2516
Kisláng;2516
Beremend;2509
Tiszanána;2508
Jászszentandrás;2504
Tiszakarád;2498
Galgahévíz;2489
Prügy;2489
Ruzsa;2485
Kosd;2483
Jászszentlászló;2477
Gyõrzámoly;2474
Tunyogmatolcs;2466
Jánoshida;2463
Vál;2456
Zamárdi;2451
Görbeháza;2450
Pusztavám;2449
Békéssámson;2445
Rábapatona;2445
Ónod;2444
Kisszállás;2429
Mezõzombor;2429
Valkó;2427
Lánycsók;2426
Gyöngyöstarján;2418
Maklár;2411
Kaposmérõ;2407
Szászvár;2407
Szank;2406
Boldva;2399
Káloz;2389
Böhönye;2380
Mosonszentmiklós;2379
Mágocs;2376
Császártöltés;2375
Pér;2374
Úrhida;2374
Nyírkarász;2371
Mány;2370
Elõszállás;2365
Õcsény;2365
Gara;2359
Zsámbok;2352
Magyarbánhegyes;2335
Naszály;2335
Piliscsév;2321
Nyárlõrinc;2319
Tiszadada;2317
Forráskút;2315
Pétervására;2306
Buj;2303
Kéthely;2299
Tengelic;2296
Ópusztaszer;2292
Mád;2290
Nagymányok;2289
Pincehely;2288
Szárliget;2286
Lajoskomárom;2284
Szedres;2284
Szigetcsép;2282
Nagybaracska;2281
Somoskõújfalu;2280
Apagy;2279
Kimle;2277
Kerecsend;2274
Cserkeszõlõ;2260
Pellérd;2255
Sáránd;2254
Bucsa;2250
Balatonföldvár;2235
Szigetmonostor;2235
Sajószöged;2232
Öskü;2230
Fertõrákos;2225
Töltéstava;2218
Bogyiszló;2216
Nyírcsaholy;2210
Döge;2206
Dég;2201
Fülöpszállás;2201
Nyírmihálydi;2201
Zámoly;2197
Pilisszentkereszt;2193
Székkutas;2193
Jászdózsa;2188
Buják;2187
Péteri;2185
Tiszaszentimre;2183
Badacsonytomaj;2178
Vonyarcvashegy;2178
Sajóvámos;2176
Herceghalom;2174
Városföld;2173
Mérk;2171
Gönc;2164
Nagyrábé;2164
Tarpa;2164
Monostorpályi;2162
Domony;2159
Máriapócs;2155
Kántorjánosi;2150
Konyár;2145
Nagyoroszi;2143
Mocsa;2142
Nagydobos;2142
Szabadegyháza;2142
Mezõszilas;2140
Jobbágyi;2137
Szigetszentmárton;2133
Litér;2127
Romhány;2127
Ágfalva;2125
Ádánd;2124
Bõny;2122
Kunfehértó;2121
Csány;2118
Tiszapüspöki;2098
Tiszabõ;2095
Kismaros;2093
Hidas;2092
Gyönk;2091
Méhkerék;2090
Almásfüzitõ;2089
Bercel;2088
Bõsárkány;2088
Hercegszántó;2085
Alattyán;2084
Parád;2082
Becsehely;2080
Fábiánsebestyén;2080
Perbál;2078
Kevermes;2075
Maroslele;2073
Zomba;2069
Dombegyház;2066
Õsi;2065
Pázmánd;2065
Kópháza;2064
Tordas;2064
Nyírtass;2063
Nyírmártonfalva;2061
Süttõ;2061
Bátya;2060
Csengõd;2059
Úrkút;2057
Koroncó;2054
Kistokaj;2049
Lábod;2048
Szany;2047
Bokod;2046
Nyírgyulaj;2045
Aranyosapáti;2041
Harsány;2041
Tyukod;2041
Vácszentlászló;2040
Csengele;2033
Apostag;2032
Iklad;2031
Szendrõlád;2029
Döbrököz;2026
Kompolt;2021
Baks;2018
Domoszló;2006
Pánd;2006
Szomód;2005
Dávod;2003
Hajdúbagos;1996
Kecskéd;1996
Pilismarót;1991
Kaszaper;1990
Rákócziújfalu;1988
Dunaszeg;1985
Bogács;1982
Zagyvaszántó;1979
Encsencs;1977
Gégény;1975
Nyírkáta;1975
Tállya;1975
Nyírvasvári;1972
Taszár;1970
Dunaszekcsõ;1968
Alap;1967
Kék;1966
Balatonszárszó;1965
Vámosgyörk;1963
Farád;1959
Mátraderecske;1959
Mátraverebély;1958
Szigetújfalu;1957
Fehérvárcsurgó;1955
Szamosszeg;1955
Iszkaszentgyörgy;1953
Katymár;1951
Nyársapát;1949
Taktaszada;1949
Nagykozár;1948
Nagycenk;1945
Rózsaszentmárton;1945
Rád;1944
Torony;1942
Gyulaháza;1939
Szurdokpüspöki;1939
Szihalom;1938
Bajna;1937
Madocsa;1935
Farkaslyuk;1929
Egerszalók;1927
Heréd;1927
Kömlõ;1927
Csökmõ;1925
Tiszabezdéd;1925
Csetény;1922
Szentkirály;1921
Szentkirályszabadja;1920
Pócsmegyer;1919
Szentlõrinckáta;1915
Hejõbába;1913
Nyirád;1911
Anarcs;1910
Ágasegyháza;1908
Jászfelsõszentgyörgy;1905
Kálmánháza;1905
Karancskeszi;1905
Tiszabercel;1897
Csévharaszt;1895
Tar;1892
Csörög;1891
Vasad;1889
Harka;1885
Dunakiliti;1884
Tolcsva;1884
Csávoly;1882
Sirok;1881
Ásványráró;1877
Balatonfenyves;1874
Nemesnádudvar;1874
Kazár;1870
Tatárszentgyörgy;1870
Berekböszörmény;1869
Vácrátót;1869
Mátraterenye;1867
Felsõszentiván;1865
Kisléta;1864
Pálmonostora;1863
Aszaló;1860
Csabacsûd;1860
Sály;1860
Karcsa;1859
Kocsér;1859
Ököritófülpös;1859
Budajenõ;1858
Járdánháza;1857
Noszvaj;1856
Császár;1855
Galgamácsa;1854
Zalakaros;1849
Kesznyéten;1845
Écs;1841
Felcsút;1841
Rimóc;1841
Pap;1839
Halmaj;1838
Lõkösháza;1835
Markaz;1834
Ságvár;1830
Sármellék;1829
